Ethnicity,hoursAerobic,hoursResistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,
southasian,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
white,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
white,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
southasian,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
southasian,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
white,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
southasian,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
southasian,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
white,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
southasian,3.5,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
white,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
southasian,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
white,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
southasian,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
southasian,2.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
southasian,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
southasian,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
white,2.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
southasian,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
southasian,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
southasian,10.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
white,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
southasian,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
southasian,6.5,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
southasian,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
southasian,2.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
southasian,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
southasian,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
southasian,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
white,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
white,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
white,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
white,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
southasian,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
southasian,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
white,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
southasian,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
white,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
white,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
white,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
southasian,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
southasian,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
white,1.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
